obs_id,object,obj_type,ra_2000,dec_2000,transition,freq,telescope,instrument,obs_res,distance,luminosity,tbol,menv,vlsr,flux,flux_err,unit,ref,extra
96,"NGC 7129 FIRS 2","IM YSO","21 43 1.7","+66 03 23.6","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1250,430,NULL,45,-9.8,9.5,0.02,"K km s-1","San Jose-Garcia et al. 2016 (flux)","van Dishoeck et al. 2011 (coords and vlsr), Wamplfer et al. 2014 (menv)"
97,"OMC-2 FIR4","IM YSO, CO","05 35 26.97","-05 09 54.5","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,440,37,34.1,30,NULL,52.31,0.04,"K km s-1","San Jose-Garcia et al. 2016 (flux)","CHESS, Furlan et al. 2014 (Lbol and class), Ceccarelli et al. 2010 (rest)"
98,"AFGL 490","IM YSO","03 27 38.4","+58 47 08.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1000,2000,NULL,45,-13.5,6.94,0.02,"K km s-1","San Jose-Garcia et al. 2016 (flux)","van Dishoeck et al. 2011 (coords and vlsr), Wamplfer et al. 2014 (menv)"
99,"L1641 S3MMS1","IM YSO","05 39 55.9","-07 30 28.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,465,70,NULL,20.9,5.3,6.28,0.03,"K km s-1","San Jose-Garcia et al. 2016 (flux)","van Dishoeck et al. 2011 (coords and vlsr), Wamplfer et al. 2014 (menv)"
100,"NGC 2071","IM YSO","05 47 04.4","+00 21 49.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,422,520,NULL,30,9.6,76.98,0.04,"K km s-1","San Jose-Garcia et al. 2016 (flux)","van Dishoeck et al. 2011 (coords and vlsr), Wamplfer et al. 2014 (menv)"
101,"Vela IRS 17","IM YSO","08 46 34.7","-43 54 30.5","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,700,715,NULL,6.4,3.9,9.97,0.02,"K km s-1","San Jose-Garcia et al. 2016 (flux)","van Dishoeck et al. 2011 (coords and vlsr), Wamplfer et al. 2014 (menv)"
102,"Vela IRS 19","IM YSO","08 48 48.5","-45 32 29.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,700,776,NULL,3.5,12.2,6.23,0.02,"K km s-1","San Jose-Garcia et al. 2016 (flux)","van Dishoeck et al. 2011 (coords and vlsr), Wamplfer et al. 2014 (menv)"
103,"GR08 04","HM YSO","20 24 31.6","+42 04 21.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,522.4,NULL,NULL,5.4,4.45,0.05,"K km s-1","San José-García 2015",extra
104,"GR06 03","HM YSO","20 29 26.7","+39 01 19.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,13900,NULL,NULL,-3.2,0.61,0.04,"K km s-1","San José-García 2015",extra
105,"GR01 03","HM YSO","20 35 34.4","+42 20 07.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,227,NULL,NULL,14.2,8.1,0.06,"K km s-1","San José-García 2015",extra
106,"GR01 07","HM YSO","20 36 57.1","+42 13 23.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,666,NULL,NULL,15.4,2.5,0.06,"K km s-1","San José-García 2015",extra
107,"GR01 08","HM YSO","20 36 57.6","+42 11 30.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,1100,NULL,NULL,15.2,14.11,0.05,"K km s-1","San José-García 2015",extra
108,"GR01 22","HM YSO","20 38 36.6","+42 37 32.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,22600,NULL,NULL,9.6,112.38,0.05,"K km s-1","San José-García 2015",extra
109,"GR01 25","HM YSO","20 38 59.1","+42 22 26.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,300,NULL,NULL,-2.6,10.47,0.06,"K km s-1","San José-García 2015",extra
110,"GR01 26","HM YSO","20 39 00.4","+42 24 37.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,1620,NULL,NULL,-3.5,5.09,0.04,"K km s-1","San José-García 2015",extra
111,"GR01 27","HM YSO","20 39 01.3","+42 22 05.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,950,NULL,NULL,-3.7,16.24,0.05,"K km s-1","San José-García 2015",extra
112,"GR01 28","HM YSO","20 39 01.9","+42 18 37.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,130.2,NULL,NULL,-3.8,9.45,0.06,"K km s-1","San José-García 2015",extra
113,"GR01 29","HM YSO","20 39 02.1","+42 24 58.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,1803,NULL,NULL,-4.3,5.59,0.05,"K km s-1","San José-García 2015",extra
114,"GR01 30","HM YSO","20 39 03.0","+42 25 51.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,630,NULL,NULL,-4.1,19.68,0.04,"K km s-1","San José-García 2015",extra
115,"GR01 31","HM YSO","20 39 03.7","+42 25 29.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,738,NULL,NULL,-4.7,8.22,0.04,"K km s-1","San José-García 2015",extra
116,"GR01 32","HM YSO","20 39 04.1","+42 25 41.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,162.9,NULL,NULL,-4.5,7.86,0.06,"K km s-1","San José-García 2015",extra
117,"GR01 34","HM YSO","20 39 16.7","+42 16 09.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,243.8,NULL,NULL,19,5.33,0.05,"K km s-1","San José-García 2015",extra
118,"GR02 01","HM YSO","20 36 52.2","+41 36 24.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,6760,NULL,NULL,-2.9,6.02,0.07,"K km s-1","San José-García 2015",extra
119,"GR02 02","HM YSO","20 37 00.9","+41 34 55.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,1340,NULL,NULL,-1.9,6.36,0.06,"K km s-1","San José-García 2015",extra
120,"GR02 10","HM YSO","20 40 05.5","+41 32 13.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,450,NULL,NULL,-4.7,12.19,0.05,"K km s-1","San José-García 2015",extra
121,"GR02 12","HM YSO","20 40 28.5","+41 57 12.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,140,NULL,NULL,-6.9,5.27,0.05,"K km s-1","San José-García 2015",extra
122,"GR02 13","HM YSO","20 40 33.5","+41 59 00.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,150,NULL,NULL,-6.1,7.8,0.06,"K km s-1","San José-García 2015",extra
123,"GR05 05","HM YSO","20 31 11.4","+40 03 08.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,6800,NULL,NULL,6.6,2.34,0.05,"K km s-1","San José-García 2015",extra
124,"GR05 11","HM YSO","20 33 49.1","+40 08 41.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,4370,NULL,NULL,7.9,1.18,0.06,"K km s-1","San José-García 2015",extra
125,"GR10 01","HM YSO","20 20 38.9","+39 38 18.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,127.9,NULL,NULL,2,11.97,0.05,"K km s-1","San José-García 2015",extra
126,"GR10 02","HM YSO","20 20 39.2","+39 37 51.0","2_02 - 1_11",987.926700,Herschel,HIFI,21.5,1400,9900,NULL,NULL,2.4,8.81,0.05,"K km s-1","San José-García 2015",extra
